,name,lat,lon,distance,type
0,Mezzanine,37.788826,-122.420968,350,Night Club
1,The Royale,37.787572,-122.415159,352,Cocktail Bar
2,Calif. Masonic Memorial Temple,37.791269,-122.41294,406,Club House
3,Metropolitan Club,37.789124,-122.411093,563,Club House
4,Great American Music Hall,37.784806,-122.418866,592,Rock Club
5,Tapstack,37.787162,-122.41112,646,Club House
6,Bootie Mashup,37.787497,-122.424258,674,Night Club
7,Bangers&Mash,37.78304,-122.415465,809,Night Club
8,Hubba Hubba,21.311113,-157.862316,505,Strip Club
9,Nashville Waikiki,21.306565,-157.865671,552,Night Club
10,ENCORE at the Row,21.301272,-157.862208,661,Night Club
11,Cafe Den Mau,21.312068,-157.863995,687,Night Club
12,Pure Platinum,41.882805,-87.636488,388,Night Club
13,Tunnel,41.889062,-87.633034,520,Night Club
14,Dance Studio,41.889423,-87.630215,561,Night Club
15,Disco,41.889776,-87.631601,610,Night Club
16,Ladies Of Chicago,41.880369,-87.626938,645,Strip Club
17,Chicago's First Lady,41.880598,-87.626518,652,Strip Club
18,Chicago Dancers United,41.878435,-87.633975,688,Night Club
19,LondonHouse Chicago,41.887803,-87.625327,689,Night Club
20,The Underground,41.890941,-87.630139,729,Night Club
21,Andy's Jazz Club,41.889891,-87.627433,730,Night Club
22,University Club of Chicago,41.880993,-87.624978,743,Night Club
23,Clubs In Chicago Enter All Night Clubs,41.891987,-87.634381,846,Night Club
24,Blue Chicago,41.89197,-87.631481,861,Night Club
