,name,lat,lon,dist
0,Bus Station,37.790851,-122.415424,166.0
1,Bus Station,37.788302,-122.417138,222.0
2,Bus Station,37.787121,-122.416351,340.0
3,Bus Station,37.792233,-122.414,365.0
4,Bus Station,37.791623,-122.421133,371.0
5,Bus Station,37.791818,-122.421145,373.0
6,Bus Station,37.788217,-122.413978,374.0
7,Bus Station,37.78699,-122.419784,424.0
8,Bus Station,37.791486,-122.412666,457.0
9,Bus Station,37.791454,-122.412234,463.0
10,Bus Station,37.788505,-122.412346,483.0
11,Bus Station,37.791817,-122.422865,511.0
12,Bus Station,37.792364,-122.422969,533.0
13,Bus Station,37.792289,-122.423108,554.0
14,Bus Station,37.791361,-122.423698,573.0
15,Bus Station,37.790949,-122.423961,590.0
16,airport,37.619213,-122.382645,19259.01555839025
17,Bus Station,37.790851,-122.415424,166.0
18,Bus Station,37.788302,-122.417138,222.0
19,Bus Station,37.787121,-122.416351,340.0
20,Bus Station,37.792233,-122.414,365.0
21,Bus Station,37.791623,-122.421133,371.0
22,Bus Station,37.791818,-122.421145,373.0
23,Bus Station,37.788217,-122.413978,374.0
24,Bus Station,37.78699,-122.419784,424.0
25,Bus Station,37.791486,-122.412666,457.0
26,Bus Station,37.791454,-122.412234,463.0
27,Bus Station,37.788505,-122.412346,483.0
28,Bus Station,37.791817,-122.422865,511.0
29,Bus Station,37.792364,-122.422969,533.0
30,Bus Station,37.792289,-122.423108,554.0
31,Bus Station,37.791361,-122.423698,573.0
32,Bus Station,37.790949,-122.423961,590.0
33,airport,37.619213,-122.382645,19259.01555839025
34,Bus Station,41.882957,-87.6298,275.0
35,Bus Station,41.881725,-87.632099,316.0
36,Bus Station,41.880849,-87.629723,474.0
37,Bus Station,41.888798,-87.633307,480.0
38,airport,41.784455,-87.75237,14924.385980889278
